@relation disaster_tweets

@attribute text string
@attribute class_attr {derailment, fire, crash, wildfire, earthquake, bombings, shooting, flood, building_collapse, typhoon, explosion}

@data
'prayer service victim train derailment hold pm today',derailment
'train derail  kill injure dozen people',derailment
'least dead  commuter train derail  commuter rail line derail  city',derailment
'passenger train derail  city car water',derailment
'update train derailment least dead injure   send car close hudson river',derailment
'engineer daydream crash train engineer involve sunday crash ma',derailment
'think go out metro north derailment victim amp',derailment
'train crash  metro north train side',derailment
'passenger who survive  train crash intend sue railroad',derailment
'say possible fatality metro north derailment no confirmation',derailment
' train derailment kill least injure dozen',derailment
'here mandate technology have stop  train derailment',derailment
'train derailment kill hurt more question raise speed or human',derailment
'death injure train derailment  news',derailment
'break fire department multiple injury passenger train derailment severity m',derailment
'crash track destroy nb',derailment
'exclusive  engineer doze second train derailment source say',derailment
'funeral hold one four passenger kill train derailment',derailment
' train have no anomaly derailment investigator say say investigator find an',derailment
'driver train derail kill four tell official daze moment crash',derailment
'train derailment air query technology salt lake',derailment
' train go mph derail',derailment
'final funeral train derailment victim',derailment
' train crash probe begin',derailment
'governor dead hurt crash  passenger train derail curve sec',derailment
'pray break four die commuter train derail  city',derailment
'national transportation safety board deploy team  investigate train derailment',derailment
'schedule speak medium',derailment
'crash order make safety change  time',derailment
'way investigate train derailment read more',derailment
' news lawyer engineer daze train',derailment
'live video local news coverage  city train derailment',derailment
' train crash continue coverage derailment ',derailment
'latest derailment',derailment
'train derailment metro north come think say it so have',derailment
'dead  city train report',derailment
' train crash kill four leave injure today',derailment
' train crash thousand daily commuter face delay line close blog',derailment
'train go mph approach mph zone derailment',derailment
'train crash',derailment
'train driver i daze crash report suggest conductor zone out',derailment
' train travel curve derailment',derailment
'wow rockefeller engineer fall train derailment report',derailment
'wow aerial picture metro north train derailment ',derailment
' train crash people hurt derailment  fire department',derailment
'horrify crash metro north morning prayer go out rider family',derailment
'dead train derailment injure',derailment
'one victim derailment hi way do work rockefeller christmas tree his friend say',derailment
'lawsuit plan behalf woman injure derailment',derailment
'scene derail train',derailment
'train derail  city police confirm passenger train derail ',derailment
'plan morning commute derailment',derailment
'watch live official give update train derailment investigation',derailment
'four dead injure  passenger train derailment',derailment
'train engineer fell moment crash ',derailment
'rip people who die train derail today injure crazy shit man',derailment
' train crash authority begin investigation passenger face delay',derailment
'metro north crash',derailment
'world news  train derailment kill four injure india ',derailment
'video passenger train derailment kill',derailment
'four dead dozen injure train derailment four dead dozen injure train derailment',derailment
'source engineer rockefeller in daze crash metro',derailment
'prayer affect today train derailment ',derailment
'engineer derailment suspend pay',derailment
'train derailment leave dead dozen injure four people kill more injure ne',derailment
'service be resuspend albany think go victim derailment first responder',derailment
'derailment probe',derailment
'say  commuter train go mph crash commuter train derail over',derailment
'train exceed speed limit crash',derailment
'metro north car water edge derailment',derailment
'see train derailment heart go out victim family so',derailment
'condolence go out friend family kill train derailment ',derailment
'think involve today  train derailment',derailment
'break news confirm dead dozen injure train derail',derailment
'least have die train derailment ',derailment
'speed focus  train crash commuter warn delay investigator focus  c',derailment
'least four dead injure train derailment',derailment
'spot golf bermuda derailment',derailment
'dead more injure train derailment',derailment
' train crash live update passenger train derail kill least amp injure',derailment
'develop passenger train derail  carriage water',derailment
'live video official provide update derail train leave dead ',derailment
'least four dead injure  commuter train derailment fire department more',derailment
'man hail hero help passenger derailment horror',derailment
'dead train derailment ',derailment
'manage screw up major fact  metro north derailment do well',derailment
'lovell cold spring id ed one metro north crash victim',derailment
'mayor michael defend remain golf course train derailment',derailment
'speak family lovell kill metro north crash hi family like know',derailment
'fact assault rifle be use commit murder us history',shooting
'suspect family express sympathy',shooting
'dead horde gun tote zombie see mill food court wait',shooting
'now want start arm  agent',shooting
'protester be clear precaution security service result shooting',shooting
'us la say gunman face federal count murder federal officer amp commission crime airport',shooting
'shoot fire airport evacuate report  employee shoot security',shooting
'so there shoot',shooting
'faa report no departure further notice',shooting
'think airport or area hope people keep safe',shooting
'hear exclusive interview man confront shooter',shooting
'odds personal over woman nothing do his job or airport',shooting
'report say  agent shoot suspect have be shoot',shooting
'la airport reopen shoot international airport reopen friday attack',shooting
'run rape amp kill people hang out believe jihadist',shooting
'shoot gunman leave note target ',shooting
'shoot report international airport there report shoot incident friday',shooting
'la mayor say flight have begin take off scene seem call down',shooting
'update confirm man agent who report kill',shooting
'shoot witness shooter inside terminal',shooting
'update andrew smith suspect custody there no second suspect',shooting
'think solution shoot more gun airport',shooting
'report people wind include  agent shoot',shooting
'shoot suspect say act',shooting
'listen shoot shooting happen single day one publicize',shooting
'now  shootout over la go go back regular schedule stab',shooting
'suspect shooter note reveal',shooting
'police respond incident terminal airport u say',shooting
'siva tom max want make way airport',shooting
'guy get airport rifle last week security confiscate hair gel',shooting
'shoot follow',shooting
'allege gunman dead law enforcement source tell post come',shooting
'rip victim shoot prayer',shooting
'shoot suspect paul charge murder usa today latest',shooting
'shoot suspect step trace search clue la airport attack york time',shooting
'suspect shoot custody',shooting
'post suspect tell police act shoot',shooting
'think impact shoot today',shooting
'so do get past security gun',shooting
' police shoot suspect send',shooting
'break sport relate shoot airport wow',shooting
'pattern wheel wv courthouse shooter hat government video so do',shooting
'honor offer condolence utmost support family colleague',shooting
'disgust so hide behind computer hate',shooting
'officer hesitate confront gunman daily bulletin',shooting
'prayer go out victim',shooting
'have confirm one  officer dead multiple  officer wind',shooting
' identify officer kill shoot',shooting
'paul anthony come shoot suspect',shooting
' police chief suspect family friday think kill',shooting
'photo dummy present wind shooter medium',shooting
'off duty officer bystander say one time decide',shooting
'latest shoot victim  employee kill wound',shooting
'think victim people stay safe people crazy',shooting
'join u morning discuss tom ridge witness lagos beg',shooting
'shoot airport at least people shoot shoot fire suspect have rifle terminal evacuate',shooting
'past clue show suspect paul possible motive shoot former',shooting
'en route update come',shooting
'traffic backup',shooting
'incident report terminal',shooting
'suspect airport shoot name us medium paul law enforcement official',shooting
'shoot prompt evacuation stall flight',shooting
'official gunman ask people say no move',shooting
'schedule fly today shoot airport may cause major delay follow update',shooting
'ad rush associate business mock',shooting
'shoot suspect graduate school wilmington hs',shooting
'here know shoot man open fire rifle dead wound',shooting
'tonight cost cancer patient health care shooter msg dolphin haze',shooting
'airport terminal still close shoot rampage authorities',shooting
'airport shoot suspect charge murder',shooting
'there look rifle floor guard police officer',shooting
'can talk gun now',shooting
'break news injure dead  agent shooter watch chaos video up',shooting
'express shock outrage over airport shoot nobody address',shooting
'mccarthy shoot may well have be incident report say shooter ask people',shooting
'break shoot report airport terminal watch live coverage',shooting
'suspect shoot have think attack fox news',shooting
'shoot suspect paul face federal murder charge',shooting
'do look real dummy like one wheel chair',shooting
'airport police engage neutralize shooter suspect shoot  checkpoint suspect injure',shooting
'shoot hear airport international airport be lock down report g',shooting
' conflict report law enforcement condition suspect confirm shooter dead',shooting
'friday raise question  agent arm do think',shooting
'in confirm flight delay traveler urge check flight status head',shooting
'source allege gunman send ramble text family',shooting
'keep victim prayer hate hear act like so',shooting
'report ex nsa chief gun down airport shoot',shooting
'want offer condolence family  agent who shoot amp kill airport morning la',shooting
'shift sorrow victim shoot blame gun lobby laws',shooting
'airport turn twitter friday shoot incident',shooting
'hope safe okay airport hear shoot',shooting
'report shooter  mean mass shoot over past year have be',shooting
'tv station show video fee possible terrorist shoot airport toronto tv show rob ford',shooting
'official no threat airport shoot la',shooting
'son bitch deserve hang ball torture one body part time till die',shooting
'more gunman kill  official terminal',shooting
'update one suspect custody multiple shoot victim confirm press conference',shooting
'shoot prompt evacuation terminal',shooting
'california pass gun control break shoot terminal source say report victim down',shooting
'cheer terminal first flight board lock down traveler',shooting
'flier delay follow shoot prolong shutdown nation third airport particular',shooting
'shoot terminal',shooting
'update official say three people injure include gunman follow shoot terminal',shooting
'law enforcement official identify airport shoot suspect paul',shooting
'suspect arrest shoot paul anthony u citizen',shooting
'suspect have note say want kill  latest',shooting
'motive airport shoot',shooting
'suspect shoot have think attack',shooting
'allege boston bomber provide motive suspect do so why former term',shooting
'something happen now',shooting
'wonder agent relate release airport security month',shooting
'shooter paul long discover antidepressant drug',shooting
'report shooter dead',shooting
'stick someone open fire  agent multiple victim lock down who know long nothing go or out',shooting
'photo shoot international airport',shooting
'security official international airport claim normal security procedure wake shoot',shooting
'harrow shoot official say shooter ticket passenger',shooting
'shoot airport reason dislike people',shooting
'least one gunshot victim transport',shooting
'here map inside terminal airport',shooting
'shoot go make airport security even more pain',shooting
'photo passenger evacuate international airport follow shoot',shooting
'hear three pop witness recount moment shooter fire shoot cause chaos',shooting
'develop there be incident airport report there shoot',shooting
'video appear show suspect handcuff gurney',shooting
'wish peace world prayer',shooting
'hear wear camouflage support shooter',shooting
'break one  agent kill one wound shoot',shooting
'watch live international airport evacuate shoot fire',shooting
'more three people shoot suspect custody airport shoot',shooting
' agent kill shoot suspect',shooting
'suspect shooter go school orlando official motorcycle mechanic institute confirm',shooting
'update confirm  employee shoot amp kill wound',shooting
'see chaos inside video show chaos inside international airport passenger run',shooting
'can talk shooter be describe terrorist way k cool',shooting
'suspect airport shoot paul anthony fbi say',shooting
'gunshot outside unknown injure prayer go out',shooting
'confirm suspect custody multiple victim airport shoot',shooting
'family ask police check suspect',shooting
'survivor look down barrel gun pray god',shooting
'god send shooter have be kill pray hatred god',shooting
'large amount chaos take place seven injure shoot one  worker kill suspect custody',shooting
'update people have be shoot accord police scanner alert declare',shooting
'eye witness celebrity share experience shoot',shooting
'who shooter find out here',shooting
'law enforcement source suspect man address la jersey',shooting
'update gunman prayer one present there',shooting
'latest suspect pull out rifle shoot document checker  checkpoint report',shooting
'update least people injure shoot gunman international airport',shooting
'close up picture possible rifle use',shooting
'police id shoot suspect paul look name up found man list  worker',shooting
' spokesperson one  employee kill shoot second  employee injure live coverage',shooting
'condition victim unknown say live coverage',shooting
'frighten shoot here victim need prayer now',shooting
'motive guy carry tract airport shoot spree mystery authority say',shooting
'fbi la man suspect airport shoot kill  officer',shooting
'here update story airport shoot',shooting
'la airport reopen shoot',shooting
'shoot suspect charge murder',shooting
'terminal shoot timeline',shooting
'report gunfire airport police say major incident no word victim',shooting
'photo rifle believe use shoot ar',shooting
'shoot fire it report suspect custody injure flight delay least',shooting
'faa order ground stop shoot no flight depart',shooting
'news least hurt unknown shooter injure least custody president brief',shooting
'shoot airport people report wound gunfire include transport',shooting
'people shoot suspect custody',shooting
'suspect la airport shoot use assault rifle police',shooting
'halt flight head',shooting
'break authority say have suspect custody shoot multiple victim report',shooting
'world place',shooting
'thank who come today hel',shooting
' matter minute police check suspect leave airport',shooting
'shoot report emergency vehicle tarmac photo courtesy',shooting
'federal source confirm  officer kill shoot stay up date latest detail',shooting
' agent shoot kill think prayer go family involve',shooting
'police shoot suspect return victim shoot latest',shooting
'amen relief have listen press conference',shooting
'news report second arm man custody airport',shooting
'break source tell shooter  employee shoot dead kill fellow worker post come',shooting
'accord obtain photo paul shoot suspect',shooting
'charge face penalty nov pm',shooting
'call break news shooter show sentiment who report something',shooting
'eyewitness report hear gun shoot then start run door outside now',shooting
'ben  police dad call worry suspect  police dad call worry suspect',shooting
'international airport airport code reason it security',shooting
'due sniper incident take place airport attendance',shooting
'security incident wb nash',shooting
'update one  officer die multiple  employee shoot source confirm',shooting
'pray involve shoot think time go airport',shooting
'passenger evacuate terminal international airport report gunshot',shooting
'report shoot fire listen eyewitness testimony',shooting
'call class arm agent more gun prevent more violence',shooting
'hurt or tire be huddle sidewalk amp know gun stop or ill get bali',shooting
'leave u dodge bullet shooter safe home something',shooting
' person yell there someone shoot sprint runway eyewitness account',shooting
'happen hope okay',shooting
'shooter former roommate shoot suspect  nice guy',shooting
'live shoot report international airport',shooting
'delay flight gunman arrest multiple victim nothing change country',shooting
'why look photo shoot suspect paul',shooting
'shoot airport think be make fly burbank then wonder person',shooting
'suspect set out kill multiple  officer',shooting
'someone use hash tag flight delay it sign',shooting
'suspect make reference suicide father say latest',shooting
'person stretcher load ambulance',shooting
'pray people involve amp effect shoot afternoon',shooting
'report victim reagan medical center',shooting
'flight ground moment so no reason attempt go near airport',shooting
'update ground stop now effect traffic arrive airport faa say',shooting
'think prayer go out victim shoot',shooting
'outgo flight delay due call airline detail',shooting
'family shooter say shock numb son do',shooting
'today airport shoot people unite deep concern over much longer security line now',shooting
'airport close shoot probe continue',shooting
'prayer go out affect',shooting
'shoot update checkpoint dead injure confirm shooter may',shooting
'dad call police worry suspect dominion post latest',shooting
'there nothing shoot seem plan',shooting
'shoot out claim wound',shooting
'fbi suspect shoot  officer return shoot usa today latest',shooting
'fbi somebody give gunman ride airport fbi urge picture video provide here',shooting
'shock shock shooter use ar like gun exist kill people',shooting
'update people hospitalize',shooting
'shooter unconscious be shoot face cop',shooting
'have run runway shoot terminal',shooting
'news one person kill airport shoot',shooting
'fbi la man suspect airport shoot man arm police say assault rifle',shooting
'shut down can listen control traffic here',shooting
'shooter have manifesto align right wing extremist',shooting
'police shoot suspect carry note world order attack raw story',shooting
'law enforcement source have tell suspect connect',shooting
'witness say hear dozen gunshot inside security gate terminal',shooting
'police probe motive la airport shoot',shooting
'update suspect shoot write note tell intent kill  employee report say',shooting
'international airport shoot',shooting
'update la airport shoot leave news network cautious celebrity man crew strand',shooting
'update patient fair condition medical center shoot',shooting
'photo obtain appear show weapon floor',shooting
'update report three shoot  employee',shooting
'first photo shoot suspect paul',shooting
'happen now shoot airport shoot be report th',shooting
'praise go out victim attack there family keep head up god bless',shooting
'break say shoot',shooting
'gunman open fire',shooting
'pray amp hope there safe',shooting
'shooting airport now fly out more airport god help victim family insanity',shooting
'now report chief michael shoot dead radical christian group claim responsibility web',shooting
'link howard patriot',shooting
'shoot suspect do appear tie terrorist organization source say',shooting
'police shoot suspect say act',shooting
'gunman walk up security checkpoint shoot agent amp then shoot officer step',shooting
'shooter libertarian ron jones variety end feed gold standard',shooting
'park structure reopen park structure airport now open official say',shooting
'watch live coverage',shooting
'witness now say hear three shoot live coverage website',shooting
'let see gun right advocate can wait interval spout mind',shooting
'photo scene evacuation photojournalist',shooting
'news brief stage area now locate administration visitor',shooting
'update press conference few minute entrance amp century airport police',shooting
'do happen la ban gun guess bad people',shooting
'so shoot down people airport terrorism carry evidence wrongdoing be',shooting
'think victim airport shoot',shooting
'source gunman custody suspect be shoot police custody friday shoo',shooting
'fbi identify paul anthony shooter',shooting
'airport shoot police probe motive attack',shooting
'authorities investigate possible tie shooter world order conspiracy theory s',shooting
'gunfire report airport terminal pic fox sport reporter',shooting
'airport reopen  agent kill news',shooting
'suspect charge murder suspect airport gunman shoot  officer walk then return shoot hi',shooting
'someone open door tarmac take cover airplane',shooting
'opinion arm  answer know much shoot international airport',shooting
'sympathy victim shoot',shooting
'people wound international airport report gunshot',shooting
'think affect',shooting
'right get security start shoot gate area shut down airport today it break news',shooting
'bombshell guess party shooter',shooting
'prayer',shooting
'good morning talk take call',shooting
'two victim shoot suspect use rifle report',shooting
'update shooter kill  agent victim hit gunfire latest',shooting
'least gop let felon terrorist amp can purchase check',shooting
'hr shoot still here people hand out water amp snack',shooting
'prayer out affect',shooting
'catch up news chance airport gunman disgruntle former employee grudge guess',shooting
'suspect remain sedate guard daily chronicle latest',shooting
'shoot paul wound suspect give police information news latest',shooting
'suspect shoot spree target ',shooting
'update airport get ready allow employee back terminal accord',shooting
'break gunman  agent accord',shooting
'wound airport shoot',shooting
'shoot man open fire rifle kill  worker wound',shooting
'report shoot airport',shooting
'do get rifle past security shoot hi way',shooting
'lock virgin lounge gunfire airport scene hear least shoot',shooting
'passenger reclaim personal belongings medical contact medical cli',shooting
'people report injure airport shoot live update',shooting
'shoot graphic base report shoot terminal',shooting
'watch live terminal evacuate shoot incident report airport',shooting
'report shoot fire show leave airport',shooting
'suspect face charge murder federal official',shooting
'accuse shooter paul unknown his hometown official say paul family know',shooting
'there press conference wait verify info there version happen',shooting
'develop shoot suspect send text hi brother admit consider suicide',shooting
'murder charge file shoot suspect',shooting
'detail surround shooter begin emerge charge murder federal officer paul',shooting
'paul anthony identify shoot suspect photo authority have identify individual',shooting
'live video coverage shoot fire airport',shooting
'shoot three people shoot suspect neutralize news',shooting
'shoot today so so live country gun control',shooting
'th appear scene',shooting
'think prayer possible victim la',shooting
'weirdo go airport wit rifle amp start shit it bout',shooting
'report shooter have rifle seem weird handgun more',shooting
'shooter terrify',shooting
'security bob hope airport due',shooting
'airport be in friday ghost town',shooting
'shoot shoot fire international airport multiple injury',shooting
'star react airport shoot',shooting
'shoot report international airport stay update',shooting
'live air traffic map light due grind stop follow image',shooting
' agent dead shooter dead  agent injure bomb squad en fluid situation',shooting
'suspect airport shoot name u medium paul law enforcement official',shooting
'passenger terminal airport evacuate local time',shooting
'scene w chief beck amp please do come airport have flight time be',shooting
'shoot airport',shooting
'report indicate there two victim down terminal shoot',shooting
'photo rifle disarm gate bloody clothe side',shooting
'airport chief shooter have assault rifle shoot his way past screener airport isolate terminal',shooting
'shooter member patriot movement',shooting
'suspect custody airport shoot multiple victim report',shooting
'shoot people airport share happen',shooting
'suspect shoot  officer walk then return shoot international',shooting
'question surround suspect motive',shooting
'shoot airport amp find gun',shooting
'patient transport area hospital official scene',shooting
'update amp hold news watch live listen li',shooting
'shoot official confirm incident airport witness hear gunshot',shooting
'california firearm law show cant legislate who follow law',shooting
'follow gun control legislation promise like gun can keep',shooting
'report shoot airport hope okay',shooting
'la airport shoot prompt evacuation fire department say assist law enforce',shooting
'shoot triage team set up red yellow treatment green walk wound',shooting
'day crazy world',shooting
'reason happen today million people lose benefit',shooting
'better shoot rifle',shooting
'senate fail gun bill have stop shooter industry',shooting
'airport shoot suspect still hospitalize suspect friday shoot ang',shooting
'shooter remain sedate guard',shooting
'central bureau now alert due incident',shooting
'update report suspect shooter custody report total patient time',shooting
'allege shooter have note say want kill  pig',shooting
'la airport shoot kill  officer report',shooting
'update shoot end suspect take custody more detail come',shooting
'live shoot multiple victim hit least hurt',shooting
' agent kill shoot',shooting
'shoot suspect charge murder may face death penalty',shooting
'video passenger tell leave airport people wound gunfire',shooting
'stay safe keep involve prayer',shooting
'shooter conceal his weapon november',shooting
'suspect shoot spree target   news',shooting
'there be shoot international airport world safe',shooting
' officer shoot kill airport',shooting
'latest detail emerge suspect threat note latest detail emerge suspect',shooting
'think prayer victim affect shoot today',shooting
'violence white men term terrorism even evidence point way',shooting
'news conference fbi special agent say at point do see threat',shooting
'shoot shooter amp have his jersey home surround cant find who shoot',shooting
'airport official say police incident begin be terminal airport spokeswoman',shooting
'report shoot terminal be evacuate flight postpone',shooting
'mt avoid time century close prior airport entrance call airline info',shooting
'be tell step bullet casing or blood lot evidence terminal',shooting
'gunman identify airport shoot spree gunman arm assault rifle enter terminal at',shooting
'someone who fly time airport situation unnerve',shooting
'timeline recent threat attack',shooting
'update one  officer die multiple  employee shoot source',shooting
'shooter shoot kill exchange gunfire act',shooting
'pray victim god help',shooting
'people still be shuttle secure location nerve star settle',shooting
'roads close report shoot fire terminal',shooting
'suspect custody airport shoot police say christian science monitor share',shooting
'suspect arrest gunfight terminal police say',shooting
'watch live live coverage shoot inside story suspect custody',shooting
'shoot latest suspect victim warn may have come',shooting
'thank dead shooter cause traffic miss so go try go',shooting
'allege shooter paul carry note',shooting
'update one person custody shoot international airport',shooting
'update  agent kill special report come up more',shooting
'wife victim husband father brother son friend',shooting
'quiet describe shoot',shooting
'hear shoot airport fine consider time month it bite',shooting
'prayer out victim shoot today',shooting
'witness tell gunman look me ask  witness shake head suspect move',shooting
'flier delay airport shoot thousand flier u delay friday',shooting
'break learn agent shoot die gunman  officer',shooting
'la airport shoot prompt evacuation',shooting
'press find shooter view threaten monday',shooting
'injure top news star evacuate joke journalism',shooting
'suspect shoot  officer kill',shooting
'hear shoot airport',shooting
'report man rifle open fire terminal',shooting
'here issue moment shoot suspect paul charge murder usa toda',shooting
'break say shoot fire multiple people injure',shooting
' agent kill six wind airport shoot',shooting
'security agent kill shoot airport',shooting
'here go fbi refer shooter patriot arm assault weapon goal paint patriot amp tea part',shooting
'yes initial report have multiple suspect quick perpetuate',shooting
'people try use call here report',shooting
'one  officer kill shooting source tell us three or four  worker injure more',shooting
' agent kill airport shoot',shooting
'one  officer kill shooting source tell u three or four  worker injure more',shooting
'shoot watch suspect gunman arrest airport',shooting
' matter minutes police check suspect leave airport',shooting
'why shooter charge terrorist article re why do save ur life',shooting
'people talk politics while someone lose love sick pray go out',shooting
'catch dude shoot up',shooting
'story shoot suspect charge murder rampage',shooting
'watch police chief patrick answer question press',shooting
'joke law center say shooter inspire homophobe',shooting
'news suspect set out kill scare  officer unemployed motorcycle mechanic suspect ca',shooting
'update open terminal roadway open terminal ticket counter open except rest',shooting
'shoot fire  suspect shooter campus morning friday tragedy please',shooting
'more suspect shoot custody c',shooting
'shooter paul right fear',shooting
'update west bureau south bureau alert due shoot',shooting
'fbi say grimace may have have accomplice look twelve foot yellow bird drive clown car plate number snuff',shooting
'report  agent allege gunman wind shoot airport',shooting
'wow read watch incident terrify have be lot worse',shooting
'have question happen or airport security general feel free ask u',shooting
'gunfire tarmac incident report terminal',shooting
'whole so tire hate amp cant respect amp love one',shooting
'special report begin',shooting
'pylon international airport have be light blue honor i',shooting
'airport police friday confirm shoot take place terminal',shooting
'now supporter ask passenger right carry gun airport self defense purpose',shooting
' police dad call worry suspect',shooting
'shoot suspect custody  officer kill salt lake tribune latest',shooting
'shooter tie patriot movement',shooting
'dad uncle spend so much time airport so home safe',shooting
'airport shoot jam franco nick more scene',shooting
'pray people family airport toda',shooting
'fact assault rifle be use commit murder u history',shooting
'shoot detail paul come light police confirm shoot suspect live sun',shooting
'watch live airport shoot press conference full video authority deliver press conference fr',shooting
'remove arm police security checkpoint month few month shooting o',shooting
'shooter register democrat tea do democrat keep get gun',shooting
'airport evacuate report shoot',shooting
'update police ask people avoid area hours',shooting
'suspect shooter custody multiple injury',shooting
'watch live stream news airport shoot haley',shooting
'stick airport terminal shooting pray victim',shooting
'suspect set out kill scare  officer unemployed motorcycle mechanic suspect ca',shooting
'shoot hope authorities get shooter colleague fly back',shooting
'shooter identify one dead injure',shooting
'suspect custody amp multiple victim official airport tweet say shooting',shooting
'airport shooter terrorist dam true',shooting
'break news shoot leave people wind suspect custody',shooting
'witness saw know shooter move urgency',shooting
'watch who do thing shoot airport',shooting
'update patient treat transport area hospital',shooting
'do know shooter who know jam who saw pass out brother amp half brother last night ben mark',shooting
'timeline shoot multiple victim hit gunman have rifle',shooting
'expect reopen terminal afternoon executive director',shooting
'paul anthony identify shoot suspect',shooting
'airport shoot no answer security strategy york time',shooting
'shoot  agent dead gunman custody airport update',shooting
'shoot suspect upgrade fair condition',shooting
'shoot airport suspect shoot custody at least people shoot shoot fire suspect have rifle faa',shooting
'airport gunman leon tell anderson shooter walk right up',shooting
'photo bloody clothe gun inside terminal shoot begin checkpoint continue',shooting
'rampage suspect call former homeland security secretary secretary bull d',shooting
'shoot gunman open fire inside airport terminal',shooting
'business hour preempt expand coverage stay na',shooting
'police shoot fire airport michael holmes report incident ang',shooting
'suspect shoot police custody witness say pandemonium chaos gunman walk  agent kill',shooting
'break incident report terminal airport be evacuate',shooting
' officer kill shoot remember father',shooting
'shooter government view probe',shooting
'news',shooting
'chief michael shoot dead la airport report',shooting
'suspect remain sedate guard',shooting
'peoria  police dad call worry suspect',shooting
'people  la calm folks it imagine happen let act shock',shooting
'live coverage three people shoot suspect custody',shooting
'wait hotel half mile airport no idea may reopen or flight start fly',shooting
'hell go think prayer victim th',shooting
'course beg arm officer believe action',shooting
'witness mayhem eyewitness describe scene shoot inside international airport',shooting
'guess  fbi have trouble find patsy shoot shit up so do now',shooting
'shoot fire international airport now be evacuate',shooting
'airport official confirm police incident begin be terminal more info come',shooting
'glad make shoot airport glad safe have fun',shooting
'reporter say second suspect take custody',shooting
'good heaven hope tun out well please stay safe avoid airport right now',shooting
'police miss suspect minute weekend investigation authorities piece',shooting
'law enforcement official suspect be treat hospital',shooting
'airport shoot suspect murder charge radio zealand latest',shooting
'suspect shoot kill  worker latest',shooting
'shoot prompt evacuation terminal full story',shooting
'agree get rid think go out',shooting
'script flip shooter security screening have note mention',shooting
'shoot international airport nov gunman high power rifle shoot law',shooting
'shoot suspect custody victim news suspect custody wear camouflage clothe target  agent',shooting
'la airport reopen shoot international airport reopen friday attack see u security',shooting
'shoot scene actor describe brooke baldwin shoot scene witness airport',shooting
'something happen  police run',shooting
'now confirm la report  agent be kill shoot',shooting
'shoot suspect send text sibling mention suicide  police chief say',shooting
'world amp twitter bring me news shoot site ag',shooting
'it fill up inside secure area people calm now upset',shooting
'medium beck jones influence shooter',shooting
'police chief stand here right now there one individual',shooting
'think prayer go out involve shoot airport unfortunate situation',shooting
'amp  amp communist busy terror',shooting
'airport shoot arm  school shoot arm teacher interest one establishment push',shooting
'la ontario airport october drill shoot scene',shooting
'terminal empty police patrol people wait peace love',shooting
'press conference international airport shoot',shooting
'update shooter  worker',shooting
'think prayer go out morning victim here hop resolution',shooting
'up shooting now people so mess',shooting
'now be air special report anchor',shooting
'allege shooter letter mention world order conspiracy theory reference paul',shooting
'so shooter or  agent accord fox news',shooting
'frighten scene  agent shoot suspect wound accord source',shooting
'travel airport security review shoot holder',shooting
'shoot amp someone dress up marathon victim wrong universe',shooting
'break law enforcement source tell shooter  agent',shooting
'gunman open fire la airport gunman carry assault rifle open fire kill ',shooting
'suspect attack identify  agent die battle creek enquirer latest',shooting
'photo allege gun shoot passenger tell step bullet casing',shooting
'louisiana pain send think amp prayer affect shoot international airport morning',shooting
'one kill la airport shoot suspect custody one person kill seven',shooting
'denver airport dia operation normal passenger den check flight status',shooting
'break fire out here airport',shooting
'condolence  agent family',shooting
'suspect custody multiple people injure shoot country express latest',shooting
'break shoot terminal source say report victim down suspect down',shooting
'it so weird there days same terminal',shooting
'wow heart go out victim shoot',shooting
'post shoot suspect tell police act fox news',shooting
'shooter note rifle have orange  inspection sticker',shooting
'men cast crew catch middle la airport shoot',shooting
'poverty law center homophobe blame shooter',shooting
'prosecutor say shoot suspect turn back kill  officer accord federal prosecutor',shooting
'pray shoot victim',shooting
'shooter have note say want instill fear mind  agent',shooting
'suspect set out kill scare  officer',shooting
'do bomb iraq',shooting
'break law enforcement official identify shoot suspect paul',shooting
'shoot feed say suspect go back kill  officer',shooting
'initial report say gunman target agent airport conflict report re suspect custody',shooting
'prayer up',shooting
'break report shoot airport n',shooting
'dead multiple victim shoot spree',shooting
'photo  agent shoot chest',shooting
'shooter charge murder face death penalty get guy official determine th',shooting
'shoot up place shoot kill injure shooter white',shooting
'one kill la airport shoot',shooting
'shoot victim  employee kill wound',shooting
'note find shoot suspect bag say want kill least one  officer',shooting
'suspect shoot have think attack man suspect kill ',shooting
'fuck police shooter open fire assault',shooting
'modern warfare predict shoot thing common',shooting
'airport shooter terrorist',shooting
'airport be evacuate shoot fire boo',shooting
'update ask driver avoid area century close manchester amp move',shooting
'update suspect shoot slay  officer two time',shooting
'shoot suspect make reference family paul anthony kill one  office',shooting
'shooter identify want kill  pig',shooting
'shock shoot morning think prayer go victim incident',shooting
'evacuation airport report shoot least one terminal',shooting
'terminal remain close saturday international airport terminal',shooting
'la peep',shooting
'reporter displace baggage due yesterday be sort',shooting
'la mayor advise situation safe airport flight continue land request people',shooting
'so there be airport see amp see go assume',shooting
'shoot more amendment propaganda progress freedom outpost',shooting
'airport close shoot federal agent comb airport clue man',shooting
'advisory avoid time century close prior airport entrance call airline info',shooting
'witness ask arm reporter no witness reply  run wu there keep us safe',shooting
'police respond major incident',shooting
'shooter white dude so worry he',shooting
'law enforcement official identify la airport shoot suspect paul',shooting
'break gunman shoot people one suspect custody',shooting
'hold first brief minute',shooting
'more possible shoot report airport c',shooting
